Answer.7,Input.var_arrays
0,"[{""wl"": [""три"", ""описание"", ""польша"", ""швеция"", ""польский"", ""сторона""], ""id"": 7, ""wl_id"": ""0""}]"
5,"[{""wl"": [""переводчик"", ""писатель"", ""писать"", ""поэт"", ""литературный"", ""последний""], ""id"": 7, ""wl_id"": ""1""}]"
2,"[{""wl"": [""дворец"", ""дворца"", ""всех"", ""стиле"", ""президента"", ""резиденция""], ""id"": 7, ""wl_id"": ""2""}]"
1,"[{""wl"": [""устройство"", ""университет"", ""использовать"", ""система"", ""использование"", ""позволять""], ""id"": 7, ""wl_id"": ""3""}]"
2,"[{""wl"": [""святого"", ""церкви"", ""края"", ""русской"", ""церковь"", ""православной""], ""id"": 7, ""wl_id"": ""4""}]"
4,"[{""wl"": [""рамка"", ""программа"", ""ведущий"", ""вести"", ""политика"", ""задача""], ""id"": 7, ""wl_id"": ""5""}]"
4,"[{""wl"": [""провинция"", ""муниципалитет"", ""сообщество"", ""связь"", ""испания"", ""автономный""], ""id"": 7, ""wl_id"": ""6""}]"
3,"[{""wl"": [""обычно"", ""используется"", ""иногда"", ""константин"", ""термин"", ""часто""], ""id"": 7, ""wl_id"": ""7""}]"
2,"[{""wl"": [""департамент"", ""коммуна"", ""франции"", ""святого"", ""коммуны"", ""регионе""], ""id"": 7, ""wl_id"": ""8""}]"
1,"[{""wl"": [""основанная"", ""замок"", ""основана"", ""группу"", ""групп"", ""группа""], ""id"": 7, ""wl_id"": ""9""}]"
5,"[{""wl"": [""мира"", ""игр"", ""чемпион"", ""олимпийских"", ""призёр"", ""берегу""], ""id"": 7, ""wl_id"": ""10""}]"
4,"[{""wl"": [""главного"", ""назван"", ""открыт"", ""топоним"", ""юг"", ""честь""], ""id"": 7, ""wl_id"": ""11""}]"
1,"[{""wl"": [""правления"", ""книга"", ""японского"", ""ниже"", ""н"", ""императора""], ""id"": 7, ""wl_id"": ""12""}]"
2,"[{""wl"": [""село"", ""положение"", ""исполнение"", ""села"", ""географическое"", ""берегу""], ""id"": 7, ""wl_id"": ""13""}]"
2,"[{""wl"": [""построить"", ""дом"", ""белорусский"", ""здание"", ""рабочий"", ""постоянно""], ""id"": 7, ""wl_id"": ""14""}]"
5,"[{""wl"": [""испанская"", ""штат"", ""штата"", ""бразилии"", ""муниципалитет"", ""плотность""], ""id"": 7, ""wl_id"": ""15""}]"
