id	wl-id	experiment	topic	intruder-idx	word-0	word-1	word-2	word-3	word-4	word-5
0	0	wiki.ru:dl/lda	12	5	с	на	и	году	в	с
0	1	wiki.ru:dll/lda	12	4	год	на	в	и	в	компания
0	2	wiki.ru:dll/lda	13	3	в	год	на	метр	и	быть
0	3	wiki.ru:dl/lda	2	3	что	в	на	с	не	и
0	4	wiki.ru:dll/lda	6	5	в	при	с	что	и	в
0	5	wiki.ru:dl/lda	15	2	и	его	с	был	на	в
0	6	wiki.ru:dll/lda	16	0	в	и	с	на	для	в
0	7	wiki.ru:dl/lda	14	4	на	года	за	и	и	в
0	8	wiki.ru:dll/lda	0	2	на	год	язык	@card@	в	по
0	9	wiki.ru:dl/lda	16	0	при	года	с	и	на	в
0	10	wiki.ru:dl/lda	17	4	в	с	и	году	и	она
0	11	wiki.ru:dl/lda	0	0	и	по	в	и	от	на
0	12	wiki.ru:dl/lda	19	1	года	года	и	в	на	с
0	13	wiki.ru:dl/lda	4	3	при	с	к	в	в	и
0	14	wiki.ru:dl/lda	7	1	он	в	его	в	году	и
0	15	wiki.ru:dl/lda	9	0	она	лет	и	в	на	населения
0	16	wiki.ru:dl/lda	11	3	и	в	с	в	на	из
0	17	wiki.ru:dl/lda	18	2	и	в	и	о	по	на
0	18	wiki.ru:dll/lda	5	2	и	для	что	или	из	в
0	19	wiki.ru:dl/lda	8	1	года	года	в	с	был	году
0	20	wiki.ru:dll/lda	17	5	он	и	год	быть	в	с
0	21	wiki.ru:dll/lda	9	1	и	и	на	война	армия	в
0	22	wiki.ru:dll/lda	3	0	и	и	на	год	клуб	в
0	23	wiki.ru:dll/lda	14	0	в	святой	в	церковь	с	и
0	24	wiki.ru:dll/lda	7	5	как	на	в	и	язык	и
0	25	wiki.ru:dl/lda	3	1	в	году	с	г	а	и
0	26	wiki.ru:dll/lda	8	3	группа	на	и	год	в	с
0	27	wiki.ru:dll/lda	4	5	и	в	с	@card@	на	и
0	28	wiki.ru:dl/lda	1	0	был	в	с	для	и	на
0	29	wiki.ru:dll/lda	10	2	на	в	и	остров	метр	и
0	30	wiki.ru:dl/lda	6	2	река	реки	на	по	в	км
0	31	wiki.ru:dll/lda	19	1	в	в	и	с	год	по
0	32	wiki.ru:dll/lda	15	0	и	для	с	мочь	и	в
0	33	wiki.ru:dll/lda	11	4	и	партия	по	в	с	с
0	34	wiki.ru:dll/lda	1	0	в	в	с	вид	на	и
0	35	wiki.ru:dl/lda	13	4	и	с	года	в	на	по
0	36	wiki.ru:dl/lda	10	5	или	с	как	и	в	и
0	37	wiki.ru:dll/lda	18	2	в	он	и	что	и	не
0	38	wiki.ru:dl/lda	5	1	и	г	году	был	года	в
0	39	wiki.ru:dll/lda	2	2	город	на	с	год	в	и
