id	wl-id	experiment	topic	intruder-idx	word-0	word-1	word-2	word-3	word-4	word-5
1	0	wiki.ru:dl/lda:big	69	1	музей	поля	историю	музея	истории	музее
1	1	wiki.ru:dll/lda:big	10	0	использоваться	планета	земля	космический	@card@	спутник
1	2	wiki.ru:dll/lda:big	17	3	немецкий	германия	берлин	корея	карл	фон
1	3	wiki.ru:dll/lda:big	97	3	евгений	анна	игорь	род	николай	дмитрий
1	4	wiki.ru:dll/lda:big	59	1	год	право	университет	с	в	и
1	5	wiki.ru:dll/lda:big	73	4	с	у	в	при	российский	и
1	6	wiki.ru:dll/lda:big	96	3	пациент	больной	болезнь	на	лечение	заболевание
1	7	wiki.ru:dl/lda:big	3	0	калифорнии	доктора	немецкого	доктор	северная	немецкой
1	8	wiki.ru:dl/lda:big	29	2	до	э	у	н	язык	языка
1	9	wiki.ru:dll/lda:big	93	4	должность	звание	начальник	высший	общество	помощник
1	10	wiki.ru:dll/lda:big	27	1	испанский	шахта	бразилия	америка	мексика	испания
1	11	wiki.ru:dll/lda:big	83	5	составлять	город	муниципалитет	население	провинция	англия
1	12	wiki.ru:dll/lda:big	82	3	венгерский	греция	венгрия	состав	греческий	община
1	13	wiki.ru:dll/lda:big	63	3	население	человек	@card@	еврейский	год	мужчина
1	14	wiki.ru:dl/lda:big	82	3	борьбы	категории	борьбе	речь	оценки	токио
1	15	wiki.ru:dll/lda:big	62	1	школа	объединение	учитель	китайский	образование	обучение
1	16	wiki.ru:dl/lda:big	31	1	роли	улицы	её	роль	сюжет	фильме
1	17	wiki.ru:dl/lda:big	64	3	года	район	состав	он	был	района
1	18	wiki.ru:dll/lda:big	98	0	документ	франк	альпы	двор	герцог	тверской
1	19	wiki.ru:dl/lda:big	6	0	у	численность	края	тыс	грузии	населения
1	20	wiki.ru:dl/lda:big	96	5	армении	баку	республика	республики	азербайджана	россии
1	21	wiki.ru:dl/lda:big	66	2	рук	тверской	на	руки	псковской	статусом
1	22	wiki.ru:dll/lda:big	69	1	оценка	население	мельница	хлеб	фабрика	рабочий
1	23	wiki.ru:dl/lda:big	38	5	де	южной	испании	выступал	бразилии	переписи
1	24	wiki.ru:dll/lda:big	25	3	что	в	не	и	быть	и
1	25	wiki.ru:dl/lda:big	76	2	российской	о	республика	за	по	права
1	26	wiki.ru:dll/lda:big	37	3	музыка	музыкальный	роль	год	и	театр
1	27	wiki.ru:dll/lda:big	41	1	на	в	и	для	с	станция
1	28	wiki.ru:dll/lda:big	67	5	её	фильм	и	она	он	диалект
1	29	wiki.ru:dl/lda:big	21	1	железной	наук	станции	линии	станция	дороги
1	30	wiki.ru:dl/lda:big	37	5	калифорния	калифорнии	лос-анджелес	сан-франциско	американский	строительство
1	31	wiki.ru:dll/lda:big	32	3	политический	совет	партия	денежный	община	выборы
1	32	wiki.ru:dl/lda:big	62	5	ссср	союза	работал	году	года	поля
1	33	wiki.ru:dll/lda:big	48	5	россия	советский	москва	ссср	российский	команда
1	34	wiki.ru:dll/lda:big	30	4	сигнал	частота	волна	экзамен	ван	напряжение
1	35	wiki.ru:dll/lda:big	77	2	уезд	городской	назад	быть	округ	год
1	36	wiki.ru:dl/lda:big	61	2	андрей	михаил	искусств	николай	сергей	дмитрий
1	37	wiki.ru:dl/lda:big	30	5	виды	род	видов	рода	растений	канады
1	38	wiki.ru:dl/lda:big	92	4	культуры	список	одежды	наследия	фонда	памятник
1	39	wiki.ru:dll/lda:big	61	1	еврейский	норвегия	польша	после	польский	война
1	40	wiki.ru:dll/lda:big	39	3	или	как	мочь	a	для	и
1	41	wiki.ru:dl/lda:big	67	4	является	клеток	человека	клетки	сети	являются
