id	wl-id	experiment	topic	intruder-idx	word-0	word-1	word-2	word-3	word-4	word-5
5	0	wiki.ru:dll:10k-100:p/lda:big	28	1	политический	движение	община	югославия	болгарский	результат
5	1	wiki.ru:dll:10k-100:p/lda:big	69	4	международный	развитие	организация	государство	австрия	страна
5	2	wiki.ru:dll:10k-100:p/lda:big	57	3	выпустить	the	группа	хозяйство	альбом	песня
5	3	wiki.ru:dl:10k-100:p/lda:big	40	2	флота	кораблей	предприятия	корабль	португалии	корабля
5	4	wiki.ru:dll:10k-100:p/lda:big	95	2	дело	министр	регион	правительство	политический	член
5	5	wiki.ru:dl:10k-100:p/lda:big	12	1	компании	префектура	сети	млн	компания	компаний
5	6	wiki.ru:dll:10k-100:p/lda:big	21	1	японский	коммуна	япония	смотреть	префектура	корея
5	7	wiki.ru:dll:10k-100:p/lda:big	82	1	дело	гора	право	лицо	закон	суд
5	8	wiki.ru:dll:10k-100:p/lda:big	93	5	регион	городской	деление	провинция	португалия	фон
5	9	wiki.ru:dl:10k-100:p/lda:big	68	0	здания	страны	сша	стран	отношения	индии
5	10	wiki.ru:dll:10k-100:p/lda:big	58	2	язык	слово	когда	фамилия	диалект	русский
5	11	wiki.ru:dl:10k-100:p/lda:big	8	3	изображала	икон	икона	кораблей	великолепными	алла
5	12	wiki.ru:dll:10k-100:p/lda:big	84	2	армия	противник	армянский	войско	дивизия	бой
5	13	wiki.ru:dll:10k-100:p/lda:big	33	4	судно	морской	флот	корабль	использовать	лодка
5	14	wiki.ru:dll:10k-100:p/lda:big	0	1	форт	сибирь	давид	разряд	проводник	курган
5	15	wiki.ru:dll:10k-100:p/lda:big	3	5	the	англия	джон	английский	of	когда
5	16	wiki.ru:dl:10k-100:p/lda:big	54	0	объектов	николас	николаса	кристофер	отвели	оформлено
5	17	wiki.ru:dl:10k-100:p/lda:big	85	5	монет	фунтов	серебра	обращения	монеты	православной
5	18	wiki.ru:dll:10k-100:p/lda:big	90	5	майкл	еврей	графство	ирландия	питер	каждый
5	19	wiki.ru:dl:10k-100:p/lda:big	80	1	джон	назад	замок	англии	король	короля
5	20	wiki.ru:dl:10k-100:p/lda:big	77	3	уезд	пунктов	населённых	османской	образован	провинции
5	21	wiki.ru:dl:10k-100:p/lda:big	73	4	совет	областного	сельский	совета	почтовый	председателем
5	22	wiki.ru:dl:10k-100:p/lda:big	98	0	кости	сока	атрибута	флор	столичном	оранжевой
