id	wl-id	experiment	topic	intruder-idx	word-0	word-1	word-2	word-3	word-4	word-5
2	0	wiki.ru:dl/lda:trunc50	8	2	семейства	из	второй	и	род	вид
2	1	wiki.ru:dll/lda:trunc50	11	0	и	современный	название	улица	место	несколько
2	2	wiki.ru:dll/lda:trunc50	12	0	год	и	род	семейство	вид	остров
2	3	wiki.ru:dl/lda:trunc50	0	4	население	в	и	по	единица	на
2	4	wiki.ru:dll/lda:trunc50	18	1	американский	и	в	группа	год	и
2	5	wiki.ru:dll/lda:trunc50	4	5	и	быть	век	имя	сын	название
2	6	wiki.ru:dl/lda:trunc50	4	2	типа	кристаллы	и	и	соединение	с
2	7	wiki.ru:dl/lda:trunc50	6	2	был	и	родился	его	он	н
2	8	wiki.ru:dl/lda:trunc50	1	5	и	для	на	с	компания	на
2	9	wiki.ru:dll/lda:trunc50	2	3	в	год	клуб	остров	за	карьера
2	10	wiki.ru:dll/lda:trunc50	15	1	советский	и	год	биография	война	великий
2	11	wiki.ru:dl/lda:trunc50	3	1	через	его	три	начало	род	и
2	12	wiki.ru:dl/lda:trunc50	9	1	аэропорт	на	за	о	и	результате
2	13	wiki.ru:dl/lda:trunc50	7	1	впервые	типа	как	озеро	деревня	упоминается
2	14	wiki.ru:dl/lda:trunc50	10	5	линии	станция	станции	и	между	года
2	15	wiki.ru:dll/lda:trunc50	14	4	и	состоять	себя	с	и	представлять
2	16	wiki.ru:dl/lda:trunc50	5	1	века	деревня	единица	история	году	был
2	17	wiki.ru:dl/lda:trunc50	17	5	года	в	биография	и	родился	двух
2	18	wiki.ru:dll/lda:trunc50	6	5	и	при	с	вода	или	в
2	19	wiki.ru:dl/lda:trunc50	16	4	над	моря	и	м	время	части
2	20	wiki.ru:dll/lda:trunc50	9	1	и	год	же	о	французский	академия
2	21	wiki.ru:dll/lda:trunc50	8	1	язык	основать	и	с	система	для
2	22	wiki.ru:dll/lda:trunc50	13	0	и	биография	год	родиться	российский	и
2	23	wiki.ru:dll/lda:trunc50	3	1	и	в	организация	компания	крупнейший	основать
2	24	wiki.ru:dll/lda:trunc50	17	4	не	а	или	также	самый	как
2	25	wiki.ru:dl/lda:trunc50	15	1	советский	де	и	биография	года	родился
2	26	wiki.ru:dll/lda:trunc50	19	4	и	назвать	год	итальянский	год	главный
2	27	wiki.ru:dll/lda:trunc50	0	0	на	по	@card@	на	район	в
2	28	wiki.ru:dll/lda:trunc50	10	0	система	и	между	станция	линия	на
2	29	wiki.ru:dl/lda:trunc50	12	3	городе	улица	место	в	де	название
2	30	wiki.ru:dl/lda:trunc50	13	2	в	карьера	части	за	года	футболист
2	31	wiki.ru:dll/lda:trunc50	1	3	и	во	страна	по	настоящий	время
2	32	wiki.ru:dll/lda:trunc50	7	5	под	история	быть	год	второй	имя
2	33	wiki.ru:dl/lda:trunc50	14	0	время	и	с	двух	году	было
2	34	wiki.ru:dl/lda:trunc50	19	0	он	войны	после	время	второй	во
2	35	wiki.ru:dl/lda:trunc50	11	2	в	была	с	году	года	и
2	36	wiki.ru:dl/lda:trunc50	18	4	один	одна	из	одним	род	которых
2	37	wiki.ru:dll/lda:trunc50	16	5	на	вместе	с	серия	первый	о
2	38	wiki.ru:dl/lda:trunc50	2	1	не	и	как	и	с	или
2	39	wiki.ru:dll/lda:trunc50	5	3	и	два	самый	война	один	из
