id	wl-id	experiment	topic	intruder-idx	word-0	word-1	word-2	word-3	word-4	word-5
4	0	wiki.ru:dll:10k-100:p/lda	10	3	компания	сеть	проект	род	система	программа
4	1	wiki.ru:dl:10k-100:p/lda	11	0	церкви	игры	чтобы	все	ему	очень
4	2	wiki.ru:dll:10k-100:p/lda	7	0	чемпионат	мужчина	женщина	перепись	коммуна	проживать
4	3	wiki.ru:dl:10k-100:p/lda	7	0	организации	водного	речной	м	реестра	данным
4	4	wiki.ru:dl:10k-100:p/lda	2	5	the	группы	альбом	альбома	группа	украины
4	5	wiki.ru:dll:10k-100:p/lda	5	4	фильм	песня	группа	the	художник	альбом
4	6	wiki.ru:dl:10k-100:p/lda	15	3	конструкции	мм	вооружение	все	м	машины
4	7	wiki.ru:dll:10k-100:p/lda	11	2	церковь	сын	речной	век	король	святой
4	8	wiki.ru:dl:10k-100:p/lda	14	0	муниципалитета	чемпионате	команды	мира	клуб	сборной
4	9	wiki.ru:dl:10k-100:p/lda	8	2	женщин	значения	можно	переписи	средний	года)
4	10	wiki.ru:dll:10k-100:p/lda	16	1	совет	когда	провинция	код	украина	почтовый
4	11	wiki.ru:dl:10k-100:p/lda	17	0	женщин	отечественной	полка	войны	армии	августа
4	12	wiki.ru:dl:10k-100:p/lda	13	4	власти	организации	партии	против	реестра	сша
4	13	wiki.ru:dl:10k-100:p/lda	16	2	жизни	все	группа	церкви	ему	него
4	14	wiki.ru:dl:10k-100:p/lda	6	1	коммуны	семейства	коммуна	неактивными	н	франции
4	15	wiki.ru:dl:10k-100:p/lda	9	4	можно	т	наиболее	века	кратер	например
4	16	wiki.ru:dl:10k-100:p/lda	10	3	компании	производства	станция	провинции	компания	станции
4	17	wiki.ru:dl:10k-100:p/lda	1	5	м	ссср	наук	университета	член	т
4	18	wiki.ru:dl:10k-100:p/lda	19	0	описание	совет	село	индекс	украины	переписи
4	19	wiki.ru:dl:10k-100:p/lda	0	3	назван	честь	кратер	водного	муниципалитета	земли
4	20	wiki.ru:dll:10k-100:p/lda	18	3	община	земля	германия	мужчина	официальный	немецкий
4	21	wiki.ru:dll:10k-100:p/lda	14	1	деревня	значение	сельский	уезд	пункт	поселение
4	22	wiki.ru:dll:10k-100:p/lda	13	0	лечение	военный	армия	войско	война	полк
4	23	wiki.ru:dll:10k-100:p/lda	19	4	род	растение	семейство	остров	церковь	длина
4	24	wiki.ru:dl:10k-100:p/lda	12	0	италии	например	случае	если	системы	можно
4	25	wiki.ru:dll:10k-100:p/lda	9	1	партия	корабль	правительство	организация	право	страна
4	26	wiki.ru:dll:10k-100:p/lda	6	0	метр	жизнь	когда	я	сам	чтобы
4	27	wiki.ru:dll:10k-100:p/lda	0	0	семейство	карьера	команда	матч	клуб	сезон
4	28	wiki.ru:dll:10k-100:p/lda	8	0	двигатель	олимпийский	игра	мир	турнир	чемпионат
4	29	wiki.ru:dll:10k-100:p/lda	3	5	язык	искусство	книга	произведение	художник	мужчина
4	30	wiki.ru:dll:10k-100:p/lda	17	4	например	система	значение	использоваться	армия	язык
4	31	wiki.ru:dll:10k-100:p/lda	2	0	искусство	двигатель	машина	корабль	завод	система
4	32	wiki.ru:dll:10k-100:p/lda	15	0	сам	реестр	муниципалитет	водный	речной	бассейн
4	33	wiki.ru:dl:10k-100:p/lda	3	1	сша	коммуны	плотность	италии	штат	чел./км²
4	34	wiki.ru:dl:10k-100:p/lda	5	2	сельского	деревня	франции	село	поселение	поселения
4	35	wiki.ru:dll:10k-100:p/lda	4	1	клетка	бассейн	применение	лечение	вещество	действие
4	36	wiki.ru:dl:10k-100:p/lda	4	0	поселения	род	семейства	см	описание	рода
4	37	wiki.ru:dl:10k-100:p/lda	18	1	востоке	кратер	провинции	южной	северной	страны
4	38	wiki.ru:dll:10k-100:p/lda	12	4	университет	институт	российский	ссср	реестр	г
4	39	wiki.ru:dll:10k-100:p/lda	1	1	метр	водный	культура	здание	около	гора
