var_arrays
"[{""wl"": [""карьера"", ""клуб"", ""выступать"", ""игра"", ""мир"", ""советский""], ""id"": 6, ""wl_id"": ""0""}]"
"[{""wl"": [""отношение"", ""японский"", ""немецкий"", ""страна"", ""использовать"", ""между""], ""id"": 6, ""wl_id"": ""1""}]"
"[{""wl"": [""семейство"", ""описание"", ""около"", ""растение"", ""реестр"", ""род""], ""id"": 6, ""wl_id"": ""2""}]"
"[{""wl"": [""провинция"", ""испания"", ""автономный"", ""муниципалитет"", ""сельский"", ""штат""], ""id"": 6, ""wl_id"": ""3""}]"
"[{""wl"": [""основе"", ""системы"", ""семейства"", ""система"", ""используется"", ""термин""], ""id"": 6, ""wl_id"": ""4""}]"
"[{""wl"": [""метр"", ""российский"", ""городской"", ""география"", ""остров"", ""посёлок""], ""id"": 6, ""wl_id"": ""5""}]"
"[{""wl"": [""род"", ""данным"", ""семейства"", ""группы"", ""описание"", ""рода""], ""id"": 6, ""wl_id"": ""6""}]"
"[{""wl"": [""украины"", ""совет"", ""муниципалитет"", ""село"", ""земле"", ""переписи""], ""id"": 6, ""wl_id"": ""7""}]"
"[{""wl"": [""форма"", ""использовать"", ""география"", ""использоваться"", ""представлять"", ""термин""], ""id"": 6, ""wl_id"": ""8""}]"
"[{""wl"": [""века"", ""н"", ""ii"", ""империи"", ""официальный"", ""э""], ""id"": 6, ""wl_id"": ""9""}]"
"[{""wl"": [""современный"", ""считаться"", ""культура"", ""главный"", ""период"", ""происходить""], ""id"": 6, ""wl_id"": ""10""}]"
"[{""wl"": [""официальный"", ""коммуна"", ""поселение"", ""земле"", ""германии"", ""года)""], ""id"": 6, ""wl_id"": ""11""}]"
"[{""wl"": [""поселение"", ""муниципалитет"", ""сельского"", ""деревня"", ""берегу"", ""поселения""], ""id"": 6, ""wl_id"": ""12""}]"
"[{""wl"": [""длина"", ""американский"", ""французский"", ""сша"", ""семья"", ""церковь""], ""id"": 6, ""wl_id"": ""13""}]"
"[{""wl"": [""немецкий"", ""почтовый"", ""украина"", ""код"", ""совет"", ""индекс""], ""id"": 6, ""wl_id"": ""14""}]"
"[{""wl"": [""призёр"", ""де"", ""страны"", ""основан"", ""клуб"", ""итальянский""], ""id"": 6, ""wl_id"": ""15""}]"
"[{""wl"": [""век"", ""муниципалитет"", ""род"", ""происходить"", ""язык"", ""сын""], ""id"": 6, ""wl_id"": ""16""}]"
"[{""wl"": [""карьера"", ""американский"", ""футболист"", ""переписи"", ""клуба"", ""начал""], ""id"": 6, ""wl_id"": ""17""}]"
"[{""wl"": [""около"", ""улица"", ""пункт"", ""альбом"", ""населённых"", ""группа""], ""id"": 6, ""wl_id"": ""18""}]"
"[{""wl"": [""пунктов"", ""войны"", ""герой"", ""населённых"", ""провинции"", ""участник""], ""id"": 6, ""wl_id"": ""19""}]"
"[{""wl"": [""советский"", ""реестр"", ""берег"", ""протекать"", ""водный"", ""длина""], ""id"": 6, ""wl_id"": ""20""}]"
"[{""wl"": [""великий"", ""советский"", ""армия"", ""война"", ""индекс"", ""военный""], ""id"": 6, ""wl_id"": ""21""}]"
"[{""wl"": [""группа"", ""соединение"", ""свойства"", ""физические"", ""образует"", ""семейства""], ""id"": 6, ""wl_id"": ""22""}]"
"[{""wl"": [""располагается"", ""провинции"", ""плотность"", ""италии"", ""индекс"", ""юге""], ""id"": 6, ""wl_id"": ""23""}]"
"[{""wl"": [""отношение"", ""компания"", ""станция"", ""система"", ""линия"", ""железнодорожный""], ""id"": 6, ""wl_id"": ""24""}]"
"[{""wl"": [""департамент"", ""регион"", ""советский"", ""кантона"", ""франция"", ""коммуна""], ""id"": 6, ""wl_id"": ""25""}]"
"[{""wl"": [""штат"", ""сельский"", ""деревня"", ""образование"", ""муниципальный"", ""поселение""], ""id"": 6, ""wl_id"": ""26""}]"
"[{""wl"": [""различный"", ""организация"", ""развитие"", ""цель"", ""исследование"", ""фильм""], ""id"": 6, ""wl_id"": ""27""}]"
"[{""wl"": [""деятель"", ""российский"", ""семейство"", ""советский"", ""род"", ""окончить""], ""id"": 6, ""wl_id"": ""28""}]"
"[{""wl"": [""бразилии"", ""штата"", ""века"", ""муниципалитет"", ""фильм"", ""штат""], ""id"": 6, ""wl_id"": ""29""}]"
"[{""wl"": [""дороги"", ""станция"", ""станции"", ""линии"", ""честь"", ""железнодорожная""], ""id"": 6, ""wl_id"": ""30""}]"
"[{""wl"": [""согласно"", ""сша"", ""данным"", ""коммуна"", ""округе"", ""переписи""], ""id"": 6, ""wl_id"": ""31""}]"
"[{""wl"": [""германии"", ""севере"", ""острова"", ""язык"", ""юге"", ""языка""], ""id"": 6, ""wl_id"": ""32""}]"
"[{""wl"": [""семье"", ""российский"", ""род"", ""деятель"", ""советский"", ""португалии""], ""id"": 6, ""wl_id"": ""33""}]"
"[{""wl"": [""коммуна"", ""официальный"", ""земля"", ""клуб"", ""германия"", ""года)""], ""id"": 6, ""wl_id"": ""34""}]"
"[{""wl"": [""см"", ""иногда"", ""штата"", ""тела"", ""длина"", ""очень""], ""id"": 6, ""wl_id"": ""35""}]"
"[{""wl"": [""американский"", ""значение"", ""окончить"", ""сюжет"", ""роль"", ""фильм""], ""id"": 6, ""wl_id"": ""36""}]"
"[{""wl"": [""призёр"", ""мира"", ""игр"", ""олимпийских"", ""линии"", ""чемпион""], ""id"": 6, ""wl_id"": ""37""}]"
"[{""wl"": [""коммуна"", ""герой"", ""коммуны"", ""департамент"", ""франции"", ""значения""], ""id"": 6, ""wl_id"": ""38""}]"
